
18/09/2017 18:02:02 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.01
18/09/2017 18:02:02 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.01
18/09/2017 18:02:02 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.01
18/09/2017 18:02:04 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.01
18/09/2017 18:02:04 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.01
18/09/2017 18:02:04 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.01
18/09/2017 18:02:06 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.01
18/09/2017 18:02:06 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.01
18/09/2017 18:02:06 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.01
18/09/2017 18:02:08 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.01
18/09/2017 18:02:08 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.01
18/09/2017 18:02:08 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.01
18/09/2017 18:02:10 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.01
18/09/2017 18:02:10 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.01
18/09/2017 18:02:10 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.01
18/09/2017 18:02:12 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.08
18/09/2017 18:02:12 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.08
18/09/2017 18:02:12 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.08
18/09/2017 18:02:14 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.08
18/09/2017 18:02:14 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.08
18/09/2017 18:02:14 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.08
18/09/2017 18:02:16 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.08
18/09/2017 18:02:16 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.08
18/09/2017 18:02:16 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.08
18/09/2017 18:02:18 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.08
18/09/2017 18:02:18 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.08
18/09/2017 18:02:18 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.08
18/09/2017 18:02:20 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.08
18/09/2017 18:02:20 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.08
18/09/2017 18:02:20 (+0200 UTC);138;XXBTZUSD;XETCZUSD;XETCXXBT;0.08
18/09/2017 18:02:22 (+0200 UTC);36;XETCZUSD;XETCXXBT;XXBTZUSD;0.08
18/09/2017 18:02:22 (+0200 UTC);112;XETCXXBT;XXBTZUSD;XETCZUSD;0.08
